2882,same,3
2250,same,0
1896,different,26
1435,different,20
418,different,19
3734,same,1
844,different,36
192,different,9
2481,same,0
1943,different,55
2292,same,0
1243,different,20
1029,different,47
2122,same,0
3897,same,0
1423,different,23
3241,same,0
3087,same,0
3150,same,0
2301,same,3
1422,different,4
1915,different,34
3275,same,1
439,different,30
3546,different,1
667,different,33
232,different,26
2969,same,2
1191,different,22
2758,same,1
2032,same,0
3065,same,0
1613,different,17
1465,different,9
3171,same,0
307,different,28
1816,different,20
3429,same,1
3874,same,3
1256,different,12
494,different,25
2768,same,2
1367,different,12
1907,different,48
1440,different,4
1820,different,21
1562,different,29
1326,different,3
3756,same,1
1872,different,7
103,different,16
2200,same,0
1158,different,12
2542,same,0
3573,same,0
483,different,20
1362,different,27
724,different,29
930,different,14
3520,same,0
438,different,25
1568,different,53
1317,different,18
757,different,32
779,different,5
1064,same,3
1970,different,13
2877,same,1
73,different,19
1566,different,18
2981,same,0
1434,different,38
13,different,15
2735,same,0
2306,same,0
3415,different,11
3303,same,1
3868,same,1
536,different,25
125,different,5
657,different,16
638,different,19
2026,same,0
2080,same,1
2687,same,0
3156,same,0
449,different,9
1346,different,9
3249,same,0
2888,same,2
1047,different,22
3054,same,0
405,different,17
1574,different,13
1271,different,16
2937,same,0
1984,different,43
768,different,9
2959,same,0
847,different,23
4004,different,23
2277,same,0
3185,same,0
3478,same,1
2557,same,0
2830,same,1
1825,different,33
2740,same,0
2395,same,0
1751,different,22
3051,same,0
882,different,12
2666,same,2
2121,same,1
3839,same,0
832,different,29
1575,different,10
3487,same,0
2856,same,0
3236,same,1
3188,same,0
1615,different,46
1130,different,19
1350,different,54
3001,same,0
3553,same,0
1203,different,21
3132,same,0
1357,different,28
2814,same,1
3610,same,0
3609,same,0
3803,same,2
1883,different,20
49,different,28
1702,different,6
3354,same,1
2056,same,0
2464,same,0
3761,same,0
883,different,29
1576,different,15
981,different,30
85,different,22
2234,same,0
1929,different,15
3662,same,1
1179,different,16
3086,same,1
489,different,29
2140,same,0
1948,different,10
2219,same,3
1879,different,41
2843,same,0
626,different,31
2017,same,1
1570,different,24
1773,different,19
2358,same,7
3021,same,1
2647,same,0
3666,same,2
3245,same,0
2939,same,1
1905,different,13
1156,same,14
3596,same,0
732,different,9
1930,different,46
2797,same,0
1125,different,14
1123,different,4
2653,same,0
3763,same,0
1391,different,19
277,different,2
3293,same,0
2779,same,3
3795,same,9
1897,different,13
915,different,18
2509,same,2
2268,same,1
3535,same,0
2120,same,1
2894,same,0
2621,same,1
2513,same,0
141,different,28
2553,same,1
1590,different,26
1713,different,34
2816,same,1
1679,different,17
517,different,3
2983,same,0
1656,different,28
1006,different,16
2569,same,0
1342,different,14
2603,same,0
75,different,22
1032,different,19
2677,same,0
1932,different,30
1759,different,40
1766,different,34
3632,same,0
1005,different,18
1280,different,16
2073,same,0
2203,same,1
2086,same,0
3725,same,0
1527,different,2
2732,same,1
288,different,19
2300,same,1
2025,same,3
3880,same,0
3181,same,1
2269,same,0
233,different,24
1601,different,12
406,different,11
2176,same,0
2238,same,1
222,different,22
1771,different,22
1861,different,13
2226,same,0
587,different,6
3326,same,2
1106,different,27
2065,same,1
1361,different,39
1681,different,22
2694,same,2
3724,same,0
3764,same,0
1736,different,25
685,different,25
620,different,16
3102,same,1
2504,same,0
3981,same,1
1205,different,56
1250,different,18
619,different,20
640,different,27
2462,same,1
3809,same,0
155,different,30
3533,same,0
1630,different,19
3437,same,0
1777,different,21
2096,same,0
1838,different,11
2921,same,0
90,different,25
1793,different,32
2239,same,0
835,different,11
450,different,24
2041,same,0
2873,same,1
3131,same,0
2495,same,1
3107,same,0
3027,same,1
3512,same,0
3238,same,0
3680,same,0
906,different,19
1399,different,37
3473,same,1
2164,same,0
3511,same,0
567,different,29
2996,same,0
1468,different,23
2522,same,0
2034,same,0
2961,same,0
1894,different,6
2284,same,0
1186,different,15
3800,same,0
2754,same,0
2127,same,0
668,different,20
2216,same,0
2723,same,3
1007,different,26
562,different,25
2064,same,1
946,different,29
3456,same,1
1426,different,14
22,different,32
385,different,17
1748,different,31
2652,same,1
3838,same,0
1792,different,24
477,different,25
3930,same,1
709,different,13
905,different,6
3383,same,0
2587,same,0
2541,same,1
3195,same,0
2427,same,1
2449,same,1
427,different,13
1292,different,15
1672,different,23
3232,same,1
301,different,27
3896,same,0
1780,different,13
1185,same,3
3793,same,0
1657,different,20
714,different,30
230,different,11
3032,same,2
1937,different,29
827,different,11
2279,same,1
958,different,35
2680,same,0
2217,same,0
1240,different,33
1182,different,42
3005,same,3
1041,different,32
43,different,15
2548,same,1
106,different,10
126,different,10
1216,different,18
1425,different,26
3561,same,0
1274,different,22
550,different,6
1218,different,34
2237,same,1
816,different,33
1832,different,18
3015,same,0
206,different,27
3931,same,0
80,different,16
420,different,9
3866,same,4
3899,same,0
1619,different,9
1269,different,22
2601,same,1
2560,same,0
1050,different,28
2978,same,0
1972,different,2
1228,different,25
1177,different,30
180,different,17
391,different,13
3343,same,1
575,different,31
2008,same,0
2936,same,0
3345,same,0
95,different,22
3600,same,0
3094,same,0
3309,same,0
436,different,10
3629,same,1
59,different,22
3647,same,1
3139,same,0
1242,different,15
2431,same,0
2145,same,0
2593,same,0
2614,same,0
690,different,10
412,different,28
1505,different,18
1214,different,32
2789,same,1
636,different,32
1173,different,11
3310,same,0
3635,same,2
2947,same,4
3702,same,0
3242,same,0
2391,same,0
2393,same,0
413,different,14
331,different,10
2635,same,1
82,different,3
799,different,11
2182,same,0
888,different,21
2114,same,0
55,different,18
2273,same,0
2112,same,1
2405,same,1
1048,different,7
3459,same,0
2917,same,1
1797,different,55
1893,different,13
573,different,18
1308,different,19
2055,same,0
622,different,29
3924,same,1
40,different,32
2795,same,0
919,different,22
2303,same,1
1319,different,34
3987,same,1
656,different,15
1922,different,18
1457,different,16
767,different,11
2648,same,0
3043,same,0
394,different,26
3827,same,0
2846,different,29
3966,same,0
2061,same,0
2346,same,0
1517,different,26
2478,same,1
3143,same,2
2870,same,0
2266,same,0
701,different,14
3098,same,0
1842,different,18
1170,different,39
526,different,17
1343,different,24
1102,different,30
1989,different,19
1998,different,14
311,different,14
1022,different,52
1180,different,24
1411,different,30
1305,different,23
292,different,21
1374,different,27
1099,different,21
2442,same,0
943,different,25
3558,same,2
875,different,19
1087,different,22
3425,same,0
649,different,26
1377,different,28
3019,same,0
3934,same,0
3253,same,0
1474,different,37
1550,different,26
3432,same,1
2766,same,2
3913,same,0
1683,different,26
627,different,1
665,different,1
3233,same,0
727,different,26
3525,same,0
547,different,24
3612,same,0
3517,same,0
1224,different,17
902,different,5
3817,same,0
2488,different,13
778,different,10
3395,same,0
3547,same,0
3513,same,0
2520,same,0
1092,different,14
1071,different,13
105,different,26
1995,different,27
1712,different,38
3758,same,0
1275,different,16
196,different,15
2719,same,0
812,different,11
890,different,27
2668,same,1
2632,same,0
3331,same,0
3070,same,0
2332,same,1
1010,different,26
1542,different,42
3119,same,0
469,different,19
3625,same,0
2290,same,0
3783,same,1
1258,different,7
3162,same,0
1810,different,0
3560,same,0
5,different,11
1633,different,28
228,different,24
1738,different,38
2368,same,0
554,different,36
1618,different,5
50,different,32
2089,same,0
2189,same,0
1396,different,21
154,different,17
813,different,28
1215,different,22
2515,same,0
1996,different,15
1222,different,12
113,different,19
1311,different,2
3545,same,0
1327,different,18
2124,same,0
1753,different,20
2954,same,0
2262,same,0
849,different,23
2325,same,0
327,different,13
1508,different,23
70,different,24
3240,same,1
698,different,9
352,different,29
3675,same,1
1075,different,22
1525,different,26
272,different,22
3374,same,0
1992,different,19
3306,same,0
3221,same,1
2204,same,0
2240,same,0
1499,different,38
2527,same,0
2967,same,1
2113,same,1
2003,same,1
700,different,26
1695,different,23
500,different,20
2507,same,0
3626,same,0
2372,same,1
1458,different,1
2308,same,0
3743,same,2
210,different,26
1711,different,25
1882,different,12
38,different,5
1318,different,5
1778,different,6
151,different,22
2510,same,0
1261,different,23
36,different,32
2822,same,2
3723,same,1
850,different,18
3792,same,0
2190,same,0
511,different,15
780,different,17
1153,different,15
1252,different,13
3637,same,6
2220,different,3
773,different,19
3409,same,0
2328,same,1
631,different,14
3012,same,1
3091,same,0
1722,different,22
2599,same,0
968,different,20
1599,different,5
1851,different,24
3942,same,0
3280,same,1
468,different,22
544,different,21
1306,different,4
502,different,16
903,different,30
2849,same,0
1660,different,24
2244,same,0
2863,same,0
3852,same,0
3909,same,0
249,different,27
3556,same,0
3430,same,0
2968,same,0
18,different,24
3867,same,0
1495,different,15
392,different,25
2815,same,1
2588,same,0
140,different,20
1921,different,28
24,different,33
2809,same,0
2572,same,0
2726,same,1
2503,same,0
1296,same,11
498,different,10
707,different,10
2339,same,0
3915,same,0
682,different,34
41,different,30
2043,same,0
1694,different,22
3078,same,0
1447,different,34
3770,same,0
3688,same,0
1211,different,44
763,different,31
1689,different,17
3398,same,1
3713,same,0
1742,different,24
3308,same,0
3802,same,1
743,different,25
2404,same,0
911,different,27
3,different,9
3202,same,0
752,different,23
172,different,27
3407,same,0
1867,different,15
2675,same,1
178,different,12
1160,different,23
1761,different,35
771,different,27
936,different,24
960,different,25
2533,same,0
1000,different,6
432,different,13
340,different,25
794,different,25
356,different,26
546,different,17
824,different,16
755,different,22
2010,same,0
1608,different,5
2469,same,0
1302,different,11
309,different,19
1220,different,7
2575,same,1
576,different,23
3490,same,0
803,different,10
1739,different,23
2194,same,0
3979,same,2
63,different,10
2900,same,0
3769,same,0
1272,different,13
3178,same,0
3307,same,0
2070,same,1
205,different,27
3501,same,0
484,different,28
3244,same,0
3622,same,0
1314,different,41
3179,same,0
1744,different,5
171,different,8
2501,same,0
2881,same,0
2713,same,1
2879,same,1
2318,same,1
3189,same,0
300,different,23
925,different,28
1460,different,1
3540,same,0
674,different,7
1081,different,21
3405,same,0
287,different,15
302,different,42
3916,same,1
3670,same,0
2483,same,2
3033,same,0
2133,same,0
2828,same,0
3807,same,0
747,different,4
3198,same,0
3639,same,1
2960,same,0
1407,different,38
1077,different,21
3615,same,1
3491,same,4
402,different,31
2670,same,0
2633,same,1
2060,same,1
2154,same,0
2962,same,0
2326,same,0
877,different,38
564,different,27
1478,different,17
3075,same,1
921,different,15
2639,same,0
2254,same,0
366,different,31
3818,same,0
3794,same,1
3476,same,0
1104,different,7
920,different,24
613,different,17
3433,same,0
1941,different,17
855,different,13
1093,different,26
585,different,24
2629,same,4
336,different,32
1997,different,8
431,different,10
2526,same,5
3584,same,0
298,different,13
868,different,29
1341,different,28
3488,same,1
444,different,29
792,different,34
3115,same,0
959,different,41
3587,same,1
3168,same,1
1277,different,45
1733,different,29
2703,same,0
2654,same,0
2721,same,0
1,different,17
3421,same,1
3313,same,0
2249,same,0
1994,different,32
423,different,14
3534,same,0
1763,different,30
828,different,26
1212,different,26
245,different,12
322,different,25
3877,same,0
787,different,27
1265,different,23
2429,same,2
3314,same,0
3937,same,0
2638,same,1
1908,different,20
3974,same,0
1157,different,36
2823,same,0
2021,same,1
986,different,29
1530,same,6
2100,same,0
2930,same,0
217,different,28
1028,different,16
1062,different,16
2885,same,2
2586,same,0
348,different,33
834,different,14
2887,same,0
2988,same,0
57,different,37
1646,different,6
3467,same,0
3192,same,2
2448,same,0
976,different,27
3526,same,5
1217,different,8
3031,same,1
218,different,19
549,different,36
2261,same,0
490,different,10
1174,different,12
3104,same,0
3090,same,0
1589,different,31
215,different,18
3498,same,0
808,different,21
478,different,29
3205,same,0
1393,different,10
2683,same,0
2676,same,0
3716,same,0
2951,same,0
32,different,24
2411,same,1
3382,same,1
310,different,25
1188,different,20
1782,different,16
1366,different,1
1286,different,46
3112,same,1
3755,same,1
516,different,18
675,different,4
3855,same,0
1381,different,10
1257,different,24
2078,same,0
3081,same,0
3661,same,0
679,different,11
2971,same,1
3004,same,0
297,different,17
2210,same,0
2480,same,1
552,different,13
572,different,3
904,different,25
553,different,28
1925,different,24
1840,different,9
616,different,27
224,different,3
2252,same,0
104,different,1
2975,same,0
330,different,35
2486,same,0
482,different,28
3933,same,1
916,different,39
1839,different,48
3210,same,1
152,different,21
2212,same,4
285,different,27
579,different,21
3574,same,1
1455,different,27
3740,same,3
2160,same,1
3325,same,0
3401,same,0
3938,same,1
3110,same,3
2440,same,1
754,different,24
672,different,29
2492,same,0
1378,different,22
3750,same,3
2679,same,0
1467,different,27
2597,same,1
524,different,20
2408,same,0
3754,same,1
1973,different,22
858,different,37
3440,same,0
2531,same,2
443,different,29
1977,different,11
1183,different,26
457,different,20
3204,same,0
111,different,35
2506,same,0
3861,same,4
561,different,18
914,different,41
3311,same,0
1693,different,5
320,different,31
3234,same,0
1869,different,23
1282,different,18
643,different,34
3273,same,0
1559,different,10
2149,same,0
1017,different,15
2228,same,0
3530,same,0
3053,same,0
3292,same,0
1767,different,25
2974,same,1
3859,same,0
2385,same,0
1401,different,29
1330,different,14
669,different,31
1678,different,18
909,different,24
3390,same,0
3782,same,0
407,different,22
1283,different,17
1033,different,12
2656,same,2
346,different,11
1210,different,27
3483,same,1
1682,different,19
1870,different,35
711,different,5
1961,different,27
551,different,22
3141,same,1
2699,same,3
1229,different,23
3295,same,1
2413,same,0
2256,same,1
325,different,30
2644,same,0
74,different,7
1038,different,22
3753,same,2
3970,same,0
10,different,18
1207,same,15
2260,same,2
1384,different,48
2347,same,0
3016,same,0
132,different,22
2218,same,0
242,different,28
1208,different,16
3766,same,0
3671,same,2
3715,same,1
759,different,29
1845,different,20
3883,same,3
2958,same,1
3218,same,0
531,different,24
2207,same,0
1045,different,8
269,different,14
1144,different,10
2389,same,1
2539,same,0
3785,same,1
1245,different,9
3024,same,0
3443,same,0
3271,same,0
283,different,13
708,different,28
1150,different,10
972,different,18
3597,same,3
2067,same,0
2235,same,0
1371,different,26
2117,same,0
3665,same,0
1880,different,21
1588,different,18
212,different,5
989,different,45
162,different,10
208,different,23
3569,same,0
1054,different,25
2852,same,0
3683,same,1
2502,same,0
3436,same,0
14,same,5
2205,same,0
582,different,11
397,different,4
2692,same,0
760,different,24
3571,same,0
938,different,3
721,different,22
393,different,17
833,different,29
3841,same,0
3706,same,0
417,different,28
317,different,26
1592,different,24
2722,same,2
2341,same,0
1909,different,20
2759,same,0
881,different,10
1323,different,7
193,different,19
3985,same,0
2077,same,6
1760,different,40
1849,different,37
2381,same,0
3893,same,1
94,different,11
3387,same,1
3559,same,0
3503,same,0
2848,same,0
897,different,19
2044,same,0
3983,same,2
3289,same,0
917,different,19
318,different,34
1841,different,6
2905,same,0
231,different,28
1745,different,33
2181,same,0
1484,different,33
1978,different,23
2747,same,1
299,different,30
952,different,23
3317,same,0
2893,same,1
313,different,2
369,different,20
3410,same,0
2787,same,0
784,different,26
257,different,28
2912,same,0
3128,same,0
1967,different,12
3061,same,0
1538,different,22
648,different,6
53,different,29
2494,same,0
506,different,27
2945,same,0
2493,same,0
3282,same,2
437,different,34
3932,same,0
2733,same,0
3216,same,0
1267,different,24
3206,same,0
51,different,25
1402,different,15
603,different,35
2396,same,0
805,different,33
2580,same,0
857,different,38
3350,same,0
3779,same,0
1433,different,23
3097,same,2
3864,same,2
3148,same,1
2201,same,0
922,different,14
1855,different,40
3123,same,0
2982,same,0
244,different,18
1623,different,13
175,different,6
766,different,25
1427,different,16
2864,same,0
2232,same,0
3348,same,0
1779,different,18
2271,same,1
3627,same,0
3180,same,0
1416,different,41
2781,same,0
543,different,15
2036,same,0
3056,same,1
99,different,33
2108,same,0
1804,different,35
3977,same,0
1009,different,25
3442,same,0
2524,same,0
646,different,23
3882,same,0
2019,same,1
1262,same,9
3992,same,0
2489,same,1
3745,same,0
3529,same,1
1584,different,28
1297,different,17
3207,same,0
3291,same,0
1013,different,35
334,different,18
3907,same,0
2158,same,0
945,different,21
1469,different,8
581,different,8
2555,same,0
2941,same,0
1049,different,33
1875,different,21
1098,different,7
826,different,2
3284,same,0
1189,different,15
836,different,10
165,different,17
2583,same,0
1244,different,25
2482,same,0
3885,same,0
1439,different,29
2741,same,0
200,different,11
1625,different,10
639,different,26
2345,same,0
351,different,37
3516,same,3
688,different,8
2438,same,1
2028,same,0
3999,same,0
2388,same,0
625,different,25
2435,same,1
2544,same,2
663,different,42
957,different,10
2808,same,0
3486,same,0
655,different,19
590,different,17
1593,different,9
3957,same,0
2417,same,0
3768,same,0
195,different,4
1876,different,28
3585,same,0
3422,same,1
1815,different,11
3323,same,1
3067,same,0
3152,same,0
1166,different,18
2853,same,0
1707,different,24
997,different,19
290,same,3
260,different,27
1287,different,26
746,different,19
2819,same,0
2841,same,1
321,different,22
1503,different,15
2718,same,0
2530,same,0
2461,same,0
100,different,23
83,different,6
3541,same,0
2430,same,0
2090,same,0
3039,same,1
2046,same,0
251,different,21
3531,same,0
20,different,13
144,same,4
1142,different,34
3691,same,0
3384,same,2
17,different,14
3911,same,2
2976,same,0
2999,same,1
1836,different,25
2702,same,0
1316,different,31
3008,same,0
1947,different,26
1663,different,13
3812,same,1
1324,different,19
984,different,11
3658,same,0
3840,same,0
2139,same,1
1198,different,34
659,different,29
539,different,33
1732,different,31
109,different,22
411,different,24
2707,same,0
3418,same,0
2918,same,1
2033,same,1
3837,same,0
3300,same,0
1074,different,14
2000,different,25
2023,same,1
3201,same,2
2069,same,0
2258,same,1
693,different,35
3003,same,0
3173,same,1
2454,same,1
3780,same,1
1865,different,29
1137,different,24
1449,different,10
2850,same,0
1113,different,31
999,different,15
3692,same,0
1640,different,28
774,different,17
3304,same,1
2799,same,0
2554,same,1
2178,same,0
2143,same,1
821,different,12
174,different,21
3595,same,0
926,different,20
2813,same,1
2664,same,0
303,different,13
1904,different,29
979,different,24
135,different,19
3446,same,0
756,different,22
2392,same,0
617,different,19
3630,same,0
3978,same,0
772,different,30
163,different,20
719,different,22
1622,different,26
2498,same,0
3083,same,0
1664,different,13
2744,same,1
3696,same,1
2213,same,3
3121,same,0
3030,same,3
2048,same,0
2751,same,0
839,different,19
131,different,28
345,different,32
184,different,11
748,different,25
3441,same,0
842,different,25
323,different,6
3366,same,0
662,different,22
818,different,18
1445,different,33
1368,different,20
2376,same,0
1966,different,23
3493,same,0
1772,different,16
1313,different,22
3824,same,1
637,different,21
577,different,37
3149,same,0
2574,same,2
1864,same,14
3532,same,0
3687,same,0
459,different,21
361,different,41
2782,same,0
130,different,20
3351,same,0
1730,different,26
635,different,19
568,different,31
2942,same,11
3831,same,0
804,different,5
1018,different,40
23,different,32
593,different,25
1914,different,28
1999,different,10
3552,same,4
3260,same,0
1735,different,19
2373,same,0
2536,same,0
2255,same,0
1107,different,15
2338,same,0
871,different,15
1353,different,27
884,different,14
3272,same,0
2650,same,0
2798,same,1
1938,different,18
274,different,10
2208,same,0
3910,same,0
3557,same,0
1485,different,23
237,different,32
3269,same,0
2468,same,0
2387,same,0
2076,same,0
2183,same,0
965,different,26
910,different,13
2736,same,1
3497,same,1
2595,same,0
2280,same,0
1528,different,25
1518,different,19
1805,different,22
782,different,10
3197,same,1
3448,same,2
1219,different,19
1139,different,16
1372,different,9
2622,same,0
1764,different,34
2304,same,0
1059,different,20
1169,different,12
179,different,28
654,different,28
2150,same,0
455,different,26
2177,same,0
3951,same,0
3122,same,1
1814,different,16
1620,different,33
2720,same,0
895,different,17
880,different,38
621,different,14
474,different,12
2333,same,1
1591,different,27
2523,same,0
3363,same,0
980,different,29
3059,same,1
3424,same,1
1796,different,21
1949,different,38
798,different,5
2824,same,3
2549,same,0
1175,different,2
2437,same,1
1798,different,11
2022,same,2
1136,different,36
1454,different,4
234,different,21
856,different,19
2074,same,1
3265,same,0
2643,same,0
1692,different,4
2274,same,0
2756,same,1
3590,same,0
1927,different,21
314,different,33
